décrit	1
définies	1
respectent	1
plaçons	1
nouveaux	1
rendre	1
assure	1
système	1
free	3
est	7
aussi	1
philosophiques	1
actuellement,	1
incompatibles	1
utilisateur	3
différents,	1
voyons	1
moindre	1
produit	1
libertés	4
licence	3
sous	2
notion	1
technologie	1
composant	1
disponible	1
travaillons	1
deux	3
distribuons	1
mot	1
ouvert,	1
ubuntu	9
components	1
disponibles	1
produisons	1
n'en	1
aidiez	1
logiciel	8
propos	2
du	7
logiciels	6
visiter	1
cohérent	1
mouvements	2
selon	1
de	32
idéaux	1
1998	1
prochain	1
foundation,	1
autant	1
publier	1
bénéfices	1
espérons	1
définition	1
logiciels,	1
initiative	1
complet	1
documentation,	1
trouvent	1
ordinateurs	1
création	1
décennies	1
un	4
jouir	1
propres	1
ensemble	1
termes	1
binaire,	1
anglais	1
expertise	1
what	1
terme	1
sans	2
base	1
idéaux,	1
en	4
et	17
d'une	1
depuis	1
(open	1
fièrement	1
exception	1
distribuer,	1
d'étudier	1
fière	1
software	2
personnes	1
n'est	1
s'agrandir,	1
fait,	1
logicielles	1
aucun	1
faire	2
être	1
projet	1
installez	1
charger	1
certains	1
succès	1
alors	1
signifie	1
améliorer	1
handicap	1
code	9
se	2
comme	2
si	2
modifier	1
utiliser	1
pouvoir	1
communauté	2
sa	1
devrait	3
active	1
nous,	1
ce	5
été	1
incluons	1
entourant	1
besoins	1
ses	4
pièces	1
politique	1
langue	1
par	2
spécifique	1
sur	2
gratuits	1
pas	3
partie	1
nouvelles	1
que	10
pilotes	1
processus	1
qui	4
membres	1
s'il	1
travail	1
dans	7
accord	1
au	3
à	2
source	2
choix	1
sont	4
c'est	1
préfèrent	1
qui,	1
d'informations	1
distribuée	1
libres	2
lignes	1
s'épandra	1
programmes	3
quelques	1
d'exécuter	1
laquelle	1
distincts	1
droit	1
monde	2
étant	1
social	1
mouvement	5
fins,	1
pour	7
avez	2
toutes	1
d'utiliser	1
(qui	1
utilisant	2
plus	3
importante	1
avec	1
ou	1
jamais	1
son	3
l'adapter	1
distribution	1
système,	1
souffre	1
informatiques	1
notre	4
reflétée	1
ouvert	7
dont	1
centime	1
une	4
liberté	7
composants	1
pays	1
frais	1
d'ubuntu	5
sauraient	1
des	10
inspiré	1
programme,	2
licences	1
partager,	1
presque	1
rend	1
soit	2
qualifier	1
libre)	1
ces	5
déjà	1
installés	1
qu'elle	2
installant	1
source)	1
appliquons	1
buts	1
voir	1
mesure	1
millions	1
utilisable	1
les	7
gratuitement,	1
redistribuer	1
l'ambiguïté	1
restreinte	1
d'exploitation	1
nous	9
comprend	1
bénéficier	1
payer	1
ne	4
améliorations	1
expérience	1
tous	2
s'identifiant	1
l'open	1
tout	4
compléter	1
quand	1
ainsi	3
ubuntu,	1
même	2
d'améliorer	2
vivante,	1
aux	3
d'en	1
bien	2
reconnaissance	1
permettent	1
quelque	1
d'installation	1
tirés	1
camps	1
d'un	5
coeur	1
trivials	1
d'ubuntu,	1
engageons	1
correctement	1
collective	1
heureuse	1
votre	2
plutôt	1
s'attachant	1
communautaire	1
programme	2
supprimer	2
copies	1
le	14
besoin	2
fonctionnement	1
d'échanger	1
la	17
libre	5
gratuit	2
concept	1
mondiale	1
public,	1
informatique	1
vous	5
fin	1
logicielle	1
d'exécuter,	1
forme	1
apportera	1
compétition	1
vos	1
veuillez	1
copier,	1
nombreux	2
avoir	1
philosophie	3
d'ordinateur	3
qu'une	1
uniquement	1
d'étudier,	1
philosophie,	1
section	1
afin	2
quoi	1
continue	1
chacune	1
industries	1
confère	1
apparu	1
grandissant	1

